Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,JEE_Score,University
110,316.0,109.0,1.0,2.3,2.4,8.61,0,0.703,271,Symbiosis
111,295.0,110.0,5.0,3.0,3.5,7.48,1,0.773,301,SRM
112,316.0,100.0,3.0,3.8,2.8,8.55,0,0.749,320,SRM
113,317.0,111.0,2.0,4.3,2.8,8.06,1,0.811,297,Manipal
114,340.0,106.0,3.0,4.0,3.9,9.18,0,0.778,298,SRM
115,314.0,100.0,2.0,3.2,5.0,8.97,0,0.744,323,Manipal
116,320.0,106.0,5.0,5.0,2.9,7.6,1,0.852,301,Manipal
117,316.0,107.0,2.0,4.6,3.5,8.49,0,0.761,318,SRM
118,303.0,111.0,1.0,2.4,3.6,8.13,1,0.792,298,Manipal
119,329.0,93.0,3.0,3.4,2.6,9.2,1,0.839,360,IIT
120,325.0,110.0,2.0,5.0,3.3,8.29,1,0.86,314,NIT
121,325.0,104.0,3.0,3.8,3.3,8.97,0,0.705,301,SRM
122,306.0,112.0,5.0,3.4,3.3,9.19,0,0.683,319,Manipal
123,332.0,107.0,3.0,3.0,3.0,8.06,1,0.821,329,BITS Pilani
124,301.0,105.0,4.0,2.3,3.7,8.69,0,0.633,337,Manipal
125,323.0,106.0,3.0,3.3,3.4,8.85,0,0.762,335,NIT
126,340.0,109.0,2.0,3.2,1.4,10.0,1,0.859,351,IIT
127,305.0,113.0,3.0,1.9,5.0,8.97,1,0.823,354,IIT
128,310.0,102.0,4.0,2.5,2.6,8.14,1,0.848,278,SRM
129,318.0,105.0,5.0,4.3,2.4,10.0,0,0.709,315,Manipal
130,311.0,116.0,3.0,2.2,1.4,8.9,1,0.783,295,NIT
131,299.0,105.0,4.0,3.2,5.0,9.61,0,0.747,299,SRM
132,317.0,109.0,2.0,3.8,2.6,9.07,0,0.718,286,Symbiosis
133,304.0,100.0,2.0,3.9,1.7,8.67,0,0.694,325,SRM
134,322.0,97.0,1.0,4.9,2.9,9.8,1,0.862,321,BITS Pilani
135,306.0,101.0,4.0,3.1,4.1,6.98,1,0.833,258,Symbiosis
136,334.0,103.0,2.0,3.4,3.0,7.92,1,0.782,301,Manipal
137,308.0,114.0,2.0,5.0,1.7,9.55,1,0.864,324,IIT
138,313.0,114.0,4.0,2.7,3.2,8.13,1,0.785,323,BITS Pilani
139,326.0,95.0,5.0,3.4,2.6,7.49,1,0.804,360,IIT
140,303.0,104.0,3.0,3.5,4.1,9.31,0,0.731,360,BITS Pilani
141,319.0,111.0,1.0,3.2,3.2,8.68,0,0.693,329,Manipal
142,331.0,107.0,3.0,4.4,3.8,8.03,1,0.767,292,Manipal
143,298.0,116.0,3.0,1.0,4.3,9.22,1,0.829,255,Symbiosis
144,319.0,111.0,4.0,2.9,3.6,7.78,1,0.818,321,NIT
145,319.0,106.0,4.0,4.1,3.6,7.69,0,0.74,288,Symbiosis
146,325.0,106.0,3.0,2.5,3.9,7.83,0,0.69,297,Symbiosis
147,303.0,107.0,3.0,2.6,3.7,9.47,1,0.812,300,NIT
148,302.0,102.0,4.0,3.0,2.4,8.42,1,0.771,300,Manipal
149,322.0,113.0,2.0,4.8,2.2,8.49,0,0.76,346,NIT
150,320.0,112.0,2.0,3.6,5.0,9.45,0,0.788,333,NIT
151,319.0,110.0,2.0,3.2,5.0,8.67,1,0.828,312,NIT
152,320.0,109.0,3.0,2.2,1.9,8.96,1,0.787,294,NIT
153,309.0,101.0,2.0,3.6,2.9,8.73,1,0.86,265,Symbiosis
154,319.0,110.0,4.0,2.0,3.8,8.54,1,0.79,305,NIT
155,320.0,108.0,2.0,1.2,3.7,9.27,1,0.737,323,IIT
156,308.0,119.0,1.0,3.0,3.7,7.59,1,0.806,343,BITS Pilani
157,338.0,99.0,4.0,1.0,2.6,8.76,1,0.695,338,IIT
158,322.0,103.0,4.0,3.1,3.2,9.37,0,0.708,346,BITS Pilani
159,303.0,98.0,3.0,4.5,4.5,9.51,1,0.899,302,NIT
160,324.0,106.0,4.0,4.9,3.6,8.35,1,0.819,291,Manipal
161,305.0,97.0,3.0,4.2,3.0,7.68,0,0.65,273,Symbiosis
162,325.0,114.0,4.0,4.4,2.5,8.0,0,0.668,292,Symbiosis
163,330.0,114.0,2.0,3.1,4.3,9.45,0,0.77,360,IIT
164,307.0,106.0,5.0,2.6,3.6,8.13,0,0.632,285,Symbiosis
165,327.0,101.0,4.0,3.9,3.1,9.72,0,0.724,360,IIT
166,321.0,98.0,2.0,4.2,4.0,7.94,1,0.862,287,SRM
167,326.0,103.0,2.0,3.8,3.4,8.29,1,0.838,344,IIT
168,338.0,111.0,3.0,3.4,1.8,8.69,1,0.809,331,IIT
169,314.0,102.0,2.0,2.1,4.1,8.03,0,0.686,306,Symbiosis
170,308.0,119.0,3.0,1.4,5.0,8.66,0,0.74,305,SRM
171,306.0,116.0,5.0,3.4,2.3,9.0,1,0.769,294,NIT
172,307.0,107.0,3.0,4.6,3.9,8.5,0,0.786,319,SRM
173,316.0,104.0,5.0,2.3,2.9,9.44,0,0.678,304,SRM
174,320.0,104.0,2.0,3.7,4.7,8.05,0,0.744,295,Symbiosis
175,320.0,117.0,4.0,3.9,3.6,8.93,1,0.862,286,Manipal
176,326.0,103.0,3.0,3.8,4.2,9.3,0,0.771,335,NIT
177,317.0,113.0,3.0,2.4,1.8,8.27,0,0.672,358,BITS Pilani
178,333.0,107.0,4.0,1.7,3.1,10.0,1,0.814,344,IIT
179,313.0,112.0,2.0,2.4,2.0,8.91,1,0.792,308,NIT
180,340.0,102.0,2.0,3.5,3.0,8.97,1,0.836,342,IIT
181,324.0,105.0,3.0,2.6,3.7,8.31,1,0.828,343,IIT
182,307.0,107.0,2.0,3.2,3.9,8.26,1,0.845,310,NIT
183,304.0,103.0,2.0,3.1,3.6,8.83,1,0.803,305,NIT
184,322.0,115.0,5.0,3.0,3.9,7.74,1,0.858,333,BITS Pilani
185,314.0,103.0,3.0,3.5,3.0,8.22,1,0.814,318,NIT
186,325.0,104.0,4.0,2.4,2.2,9.57,1,0.822,360,IIT
187,322.0,115.0,4.0,3.9,3.6,8.8,1,0.861,325,IIT
188,316.0,114.0,4.0,2.4,3.4,7.69,1,0.76,273,Symbiosis
189,307.0,117.0,2.0,3.6,5.0,9.02,1,0.859,280,Manipal
190,299.0,96.0,3.0,2.8,4.6,7.9,0,0.673,336,SRM
191,311.0,108.0,4.0,2.7,4.6,8.1,0,0.644,339,Manipal
192,326.0,108.0,2.0,3.3,2.9,8.35,0,0.672,310,SRM
193,319.0,104.0,5.0,3.2,3.5,8.65,0,0.724,316,SRM
194,302.0,109.0,2.0,3.6,3.8,9.24,0,0.764,349,BITS Pilani
195,318.0,105.0,4.0,3.7,2.6,8.69,0,0.695,295,Symbiosis
196,321.0,108.0,3.0,1.4,2.4,8.39,1,0.753,290,Manipal
197,306.0,120.0,4.0,3.7,2.8,7.54,0,0.633,314,SRM
198,318.0,109.0,3.0,3.7,2.7,8.69,1,0.848,307,NIT
199,317.0,109.0,2.0,3.4,4.0,9.05,0,0.735,317,Manipal
200,304.0,112.0,4.0,4.1,3.8,8.07,1,0.823,299,Manipal
201,321.0,108.0,1.0,3.7,3.4,9.01,0,0.753,326,Manipal
202,323.0,101.0,3.0,2.1,3.6,8.19,1,0.742,356,IIT
203,329.0,97.0,3.0,4.9,3.4,8.48,1,0.88,327,BITS Pilani
204,328.0,107.0,4.0,3.8,3.1,8.94,0,0.725,342,NIT
205,301.0,106.0,1.0,2.1,3.1,7.86,0,0.63,247,Symbiosis
206,306.0,95.0,3.0,2.8,1.8,7.64,1,0.712,297,SRM
207,322.0,117.0,4.0,2.9,3.2,8.67,1,0.891,292,Manipal
208,322.0,108.0,2.0,3.8,3.1,9.12,1,0.85,289,Manipal
209,322.0,116.0,3.0,4.2,2.9,9.06,1,0.851,300,NIT
210,340.0,94.0,3.0,3.5,2.9,8.78,1,0.831,323,BITS Pilani
211,323.0,116.0,4.0,3.9,3.5,8.1,1,0.86,341,IIT
212,329.0,104.0,1.0,3.8,3.1,7.32,1,0.705,281,Symbiosis
213,327.0,115.0,3.0,1.1,4.2,8.62,0,0.728,321,Manipal
214,324.0,108.0,4.0,2.4,2.1,8.59,0,0.734,304,SRM
215,313.0,110.0,4.0,1.0,4.4,7.87,1,0.798,301,Manipal
216,325.0,110.0,3.0,2.6,4.7,8.14,1,0.849,343,IIT
217,308.0,105.0,4.0,3.1,4.2,7.93,1,0.802,314,Manipal
218,314.0,103.0,3.0,2.1,1.5,7.07,1,0.741,329,NIT
219,311.0,105.0,4.0,3.0,3.7,8.62,0,0.707,305,SRM
220,317.0,98.0,2.0,3.8,2.4,7.67,1,0.801,291,SRM
221,340.0,104.0,2.0,3.6,2.6,7.75,1,0.767,325,BITS Pilani
222,295.0,103.0,4.0,2.9,3.1,8.04,0,0.704,301,Symbiosis
223,324.0,98.0,4.0,2.3,3.6,7.21,0,0.625,309,Symbiosis
224,298.0,110.0,4.0,4.0,4.3,8.23,1,0.848,281,SRM
225,311.0,107.0,3.0,4.1,3.7,7.73,0,0.716,304,Symbiosis
226,329.0,109.0,3.0,4.6,2.9,8.32,1,0.88,324,BITS Pilani
227,317.0,111.0,3.0,2.6,4.9,8.58,0,0.721,360,BITS Pilani
228,304.0,106.0,2.0,1.5,4.5,8.37,0,0.743,350,NIT
229,308.0,101.0,2.0,3.8,2.0,7.9,0,0.708,287,Symbiosis
230,324.0,109.0,5.0,1.5,1.7,8.54,0,0.655,306,SRM
231,308.0,90.0,3.0,3.3,2.1,7.79,1,0.809,268,Symbiosis
232,319.0,107.0,3.0,2.2,3.1,8.37,1,0.765,300,Manipal
233,317.0,112.0,2.0,3.2,3.0,8.88,0,0.741,324,Manipal
234,309.0,114.0,3.0,2.0,1.9,8.48,0,0.68,338,NIT
235,340.0,104.0,5.0,2.7,4.8,8.8,1,0.877,314,BITS Pilani
236,324.0,94.0,4.0,2.6,2.3,9.44,1,0.83,312,BITS Pilani
237,294.0,91.0,2.0,3.5,3.0,8.4,0,0.663,242,Symbiosis
238,319.0,111.0,5.0,4.7,3.1,8.59,1,0.862,313,NIT
239,309.0,105.0,2.0,3.7,4.5,9.31,1,0.877,287,Manipal
240,326.0,119.0,2.0,2.9,4.2,8.19,0,0.767,314,SRM
241,308.0,99.0,3.0,4.5,1.8,9.19,1,0.878,297,Manipal
242,315.0,109.0,2.0,3.7,1.9,8.26,1,0.785,311,NIT
243,322.0,117.0,5.0,1.0,3.7,7.82,1,0.816,266,Symbiosis
244,326.0,108.0,2.0,2.8,4.0,7.49,1,0.83,278,SRM
245,303.0,98.0,1.0,2.8,4.0,9.71,0,0.741,360,BITS Pilani
246,313.0,120.0,2.0,3.0,4.1,8.37,1,0.826,279,SRM
247,311.0,117.0,3.0,3.1,4.7,7.16,1,0.817,269,Symbiosis
248,309.0,106.0,1.0,3.1,4.4,8.64,1,0.856,357,IIT
249,336.0,112.0,3.0,4.3,4.7,8.82,1,0.891,360,IIT
250,321.0,112.0,2.0,5.0,4.0,9.46,1,0.858,297,NIT
251,302.0,111.0,4.0,3.3,5.0,7.32,1,0.792,283,Symbiosis
252,327.0,99.0,4.0,3.4,4.4,9.19,1,0.814,337,IIT
253,340.0,109.0,3.0,4.6,3.4,8.46,1,0.886,360,IIT
254,328.0,116.0,1.0,1.7,4.4,8.06,0,0.707,291,Symbiosis
255,299.0,110.0,2.0,2.5,2.8,8.83,1,0.779,296,Manipal
256,311.0,110.0,2.0,3.2,3.9,8.83,1,0.831,336,IIT
257,331.0,104.0,3.0,3.2,3.9,8.63,1,0.836,341,IIT
258,308.0,102.0,5.0,4.0,4.2,8.89,0,0.764,312,SRM
259,321.0,98.0,3.0,2.9,2.4,8.31,1,0.797,314,NIT
260,325.0,112.0,3.0,3.6,4.6,8.32,0,0.741,285,Symbiosis
261,306.0,106.0,5.0,5.0,3.3,8.69,1,0.855,306,NIT
262,316.0,99.0,3.0,4.1,4.6,8.72,1,0.804,306,NIT
263,280.0,113.0,4.0,5.0,3.6,8.77,0,0.793,300,Symbiosis
264,305.0,104.0,5.0,3.1,3.7,7.94,0,0.679,292,Symbiosis
265,314.0,102.0,4.0,3.3,3.2,8.46,1,0.813,328,BITS Pilani
266,302.0,104.0,4.0,4.0,3.2,8.47,0,0.716,336,Manipal
267,335.0,106.0,4.0,3.4,3.9,9.0,1,0.753,333,IIT
268,300.0,110.0,3.0,3.2,3.2,9.34,0,0.698,317,Manipal
269,312.0,102.0,3.0,2.8,1.9,9.36,1,0.763,319,BITS Pilani
270,318.0,113.0,1.0,3.6,3.4,9.07,1,0.834,316,BITS Pilani
271,333.0,110.0,2.0,2.9,1.1,8.73,0,0.718,312,Manipal
272,300.0,104.0,3.0,3.5,2.4,6.68,1,0.723,297,Symbiosis
273,330.0,106.0,4.0,2.8,2.6,8.11,1,0.785,320,BITS Pilani
274,317.0,105.0,3.0,4.0,4.0,8.16,0,0.702,360,BITS Pilani
275,305.0,108.0,5.0,2.7,5.0,8.73,1,0.856,352,IIT
276,322.0,116.0,4.0,2.8,3.1,8.43,1,0.821,329,BITS Pilani
277,319.0,105.0,3.0,2.0,3.8,9.06,1,0.788,300,NIT
278,310.0,108.0,1.0,4.7,4.6,7.53,1,0.817,262,Symbiosis
279,317.0,103.0,3.0,3.0,3.7,8.11,0,0.701,340,Manipal
280,312.0,110.0,4.0,3.7,1.9,8.06,1,0.747,314,NIT
281,318.0,109.0,3.0,1.7,2.9,7.89,0,0.622,322,SRM
282,324.0,115.0,3.0,4.0,3.9,9.04,1,0.859,280,Manipal
283,334.0,102.0,3.0,1.1,4.0,9.44,1,0.814,356,IIT
284,302.0,111.0,2.0,4.9,5.0,8.77,1,0.834,315,NIT
285,340.0,115.0,2.0,2.9,3.9,8.22,1,0.89,296,NIT
286,294.0,105.0,5.0,3.5,5.0,8.69,1,0.824,291,SRM
287,315.0,106.0,2.0,3.1,2.8,8.68,1,0.779,326,BITS Pilani
288,323.0,108.0,3.0,3.4,1.4,8.25,1,0.784,313,NIT
289,320.0,106.0,3.0,3.0,3.6,8.53,1,0.81,309,NIT
290,309.0,108.0,1.0,3.8,5.0,9.58,0,0.744,319,Manipal
291,314.0,111.0,5.0,5.0,2.8,8.67,0,0.702,307,SRM
292,311.0,106.0,4.0,3.2,5.0,8.92,1,0.846,321,BITS Pilani
293,310.0,106.0,1.0,5.0,4.3,8.94,0,0.795,355,BITS Pilani
294,326.0,109.0,3.0,4.4,3.3,9.54,0,0.805,268,Symbiosis
295,321.0,105.0,4.0,3.8,3.3,8.9,0,0.725,313,SRM
296,309.0,105.0,3.0,4.4,4.0,9.09,0,0.69,324,Manipal
297,327.0,102.0,4.0,5.0,1.8,9.17,1,0.841,334,IIT
298,320.0,107.0,5.0,1.5,3.4,8.95,1,0.832,310,NIT
299,326.0,110.0,2.0,3.2,4.0,7.3,1,0.843,268,Symbiosis
300,324.0,106.0,4.0,5.0,3.8,8.5,1,0.865,326,BITS Pilani
301,307.0,102.0,2.0,3.2,3.8,8.46,0,0.734,350,NIT
302,310.0,107.0,3.0,3.0,3.7,7.85,0,0.689,264,Symbiosis
303,325.0,110.0,3.0,2.9,3.7,8.93,0,0.706,345,BITS Pilani
304,323.0,108.0,3.0,3.1,3.4,8.38,1,0.799,310,NIT
305,316.0,120.0,2.0,2.9,2.1,8.07,1,0.78,301,NIT
306,318.0,103.0,4.0,3.5,4.2,8.57,0,0.71,289,Symbiosis
307,331.0,106.0,1.0,2.0,3.3,8.22,1,0.776,306,NIT
308,310.0,112.0,2.0,3.1,3.5,7.06,1,0.766,328,NIT
309,323.0,103.0,4.0,3.2,3.9,7.63,1,0.765,327,NIT
310,314.0,119.0,2.0,1.6,2.4,9.02,1,0.795,359,IIT
311,314.0,107.0,3.0,3.2,3.5,8.19,1,0.794,342,IIT
312,329.0,111.0,5.0,4.1,4.2,8.35,0,0.779,334,Manipal
313,326.0,107.0,3.0,3.0,3.7,9.3,0,0.715,360,IIT
314,326.0,113.0,5.0,2.7,4.1,9.38,1,0.812,345,IIT
315,331.0,101.0,2.0,3.3,2.2,8.47,0,0.682,346,NIT
316,317.0,117.0,2.0,4.4,3.8,8.79,1,0.924,308,BITS Pilani
317,324.0,109.0,3.0,3.7,3.4,7.73,1,0.826,312,NIT
318,313.0,111.0,2.0,4.3,2.8,7.87,0,0.717,280,Symbiosis
319,320.0,103.0,3.0,3.0,3.2,8.71,0,0.698,344,NIT
320,315.0,109.0,3.0,3.4,3.6,8.38,0,0.752,285,Symbiosis
321,318.0,101.0,3.0,4.0,3.5,8.07,0,0.702,328,SRM
322,323.0,114.0,3.0,3.5,4.8,8.69,0,0.779,312,SRM
323,307.0,99.0,1.0,2.1,3.4,9.36,1,0.733,345,IIT
324,340.0,108.0,2.0,2.9,4.3,8.28,0,0.757,352,BITS Pilani
325,305.0,105.0,2.0,1.7,3.6,8.66,1,0.867,358,IIT
326,303.0,98.0,3.0,3.7,2.9,8.81,1,0.807,329,BITS Pilani
327,330.0,102.0,3.0,4.1,3.2,10.0,1,0.836,306,BITS Pilani
328,325.0,110.0,3.0,4.1,3.0,9.43,0,0.795,331,NIT
329,324.0,102.0,2.0,2.8,4.1,8.11,1,0.8,291,SRM
330,324.0,103.0,1.0,2.5,4.1,8.56,1,0.79,307,NIT
331,316.0,109.0,5.0,3.6,2.1,7.98,1,0.76,346,IIT
332,306.0,113.0,3.0,3.2,3.3,8.99,1,0.879,332,IIT
333,317.0,111.0,3.0,4.9,4.2,9.72,0,0.74,304,Manipal
334,309.0,107.0,3.0,2.3,2.9,8.23,0,0.673,283,Symbiosis
335,327.0,109.0,2.0,3.2,3.5,7.37,1,0.857,310,Manipal
336,315.0,108.0,5.0,2.4,4.2,8.9,1,0.862,288,Manipal
337,307.0,101.0,2.0,2.7,3.1,8.02,0,0.744,288,Symbiosis
338,313.0,109.0,3.0,4.1,4.4,8.44,1,0.903,320,BITS Pilani
339,321.0,101.0,4.0,3.5,3.8,8.84,0,0.764,349,NIT
340,310.0,111.0,4.0,2.9,4.3,8.8,1,0.831,330,BITS Pilani
341,307.0,108.0,3.0,5.0,4.2,8.6,0,0.748,254,Symbiosis
342,319.0,94.0,2.0,3.2,2.3,8.58,0,0.636,319,SRM
343,319.0,113.0,4.0,3.8,4.8,8.74,1,0.906,320,BITS Pilani
344,311.0,104.0,4.0,1.8,4.9,8.7,0,0.698,321,SRM
345,311.0,104.0,4.0,2.6,3.4,8.46,1,0.774,351,IIT
346,319.0,113.0,4.0,2.6,4.5,9.24,1,0.852,269,SRM
347,300.0,106.0,5.0,5.0,3.6,7.78,0,0.725,287,Symbiosis
348,301.0,111.0,3.0,2.4,4.0,8.63,0,0.675,319,SRM
349,308.0,103.0,3.0,4.0,5.0,7.5,0,0.669,264,Symbiosis
350,314.0,112.0,5.0,3.9,4.1,8.34,0,0.676,344,NIT
351,320.0,108.0,5.0,4.6,2.9,8.02,0,0.775,321,SRM
352,333.0,110.0,5.0,2.9,3.3,8.62,0,0.761,345,BITS Pilani
353,326.0,106.0,3.0,4.3,3.1,8.36,0,0.681,307,SRM
